StudentID,SleepDuration,DailyStudyHours,StressLevel,MotivationLevel,SocialMediaUsage
1001,7.5,2.0,2,4,3.0
1002,6.0,1.0,4,3,4.5
1003,8.0,3.0,1,5,2.0
1004,5.5,0.5,5,2,5.0
1005,7.0,2.5,3,4,3.5
1006,6.5,1.5,3,3,4.0
1007,8.2,3.0,1,5,1.5
1008,6.8,2.0,2,4,2.5
1009,5.0,0.8,4,2,5.5
1010,7.3,2.5,2,4,3.0
1011,6.1,1.2,3,3,4.2
1012,7.8,3.5,1,5,1.0
1013,6.4,1.8,3,3,3.8
1014,5.7,0.6,4,2,5.1
1015,8.0,3.2,1,5,1.2
1016,7.2,2.3,2,4,2.8
1017,6.3,1.0,3,3,4.4
1018,7.9,3.1,1,5,1.3
1019,5.2,0.7,4,2,5.3
1020,6.7,1.6,3,3,4.0
